index,timestamp,well,name,value
21173,04/18/2025 14:21:23,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
21187,04/18/2025 14:21:23,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
21272,04/18/2025 14:21:23,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
21319,04/18/2025 14:21:23,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
21467,04/18/2025 14:21:45,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
21514,04/18/2025 14:21:45,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
21544,04/18/2025 14:21:47,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
21591,04/18/2025 14:21:47,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
21695,04/18/2025 14:21:58,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
21742,04/18/2025 14:21:59,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
21776,04/18/2025 14:22:04,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
21823,04/18/2025 14:22:04,5,Input : Substrate,"Rack 3x4 six Kaufmann H-cells, Deck 12-13 Heat-Cool-Stir 1, 1, 1"
22068,04/18/2025 14:22:07,5,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 5"
22091,04/18/2025 14:22:07,5,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 5"
22114,04/18/2025 14:22:07,5,Input : Substrate,"Rack 6x15 ICP robotic, Deck 16-17 Waste 1, 1, 5"
