index,datetime,volume,chaser,plate from,well from,plate to,well to
1,05/07/2025 14:51:22,250,2200,plate1,A1,ICP1,A5
2,05/07/2025 14:54:13,250,2200,plate1,B1,ICP1,A6
3,05/07/2025 14:57:04,250,2200,plate1,A1,ICP1,A7
4,05/07/2025 14:59:56,250,2200,plate1,B1,ICP1,A8
5,05/07/2025 15:02:48,250,2200,plate1,A1,ICP1,A9
6,05/07/2025 15:05:41,250,2200,plate1,B1,ICP1,A10
7,05/07/2025 15:08:33,250,2200,plate1,A1,ICP1,A11
8,05/07/2025 15:11:25,250,2200,plate1,B1,ICP1,A12
9,05/07/2025 15:14:17,250,2200,plate1,A1,ICP1,A13
10,05/07/2025 15:17:09,250,2200,plate1,B1,ICP1,A14
11,05/07/2025 15:20:00,250,2200,plate1,A1,ICP1,A15
12,05/07/2025 15:22:53,250,2200,plate1,B1,ICP1,B1
13,05/07/2025 15:25:44,250,2200,plate1,A1,ICP1,B2
14,05/07/2025 15:28:38,250,2200,plate1,B1,ICP1,B3
15,05/07/2025 15:31:30,250,2200,plate1,A1,ICP1,B4
16,05/07/2025 15:34:23,250,2200,plate1,B1,ICP1,B5
17,05/07/2025 15:37:15,250,2200,plate1,A1,ICP1,B6
18,05/07/2025 15:40:05,250,2200,plate1,B1,ICP1,B7
19,05/07/2025 15:42:56,250,2200,plate1,A1,ICP1,B8
20,05/07/2025 15:45:50,250,2200,plate1,B1,ICP1,B9
21,05/07/2025 15:48:40,250,2200,plate1,A1,ICP1,B10
22,05/07/2025 15:51:30,250,2200,plate1,B1,ICP1,B11
23,05/07/2025 15:54:23,250,2200,plate1,A1,ICP1,B12
24,05/07/2025 15:57:16,250,2200,plate1,B1,ICP1,B13
25,05/07/2025 16:00:08,250,2200,plate1,A1,ICP1,B14
26,05/07/2025 16:03:02,250,2200,plate1,B1,ICP1,B15
27,05/07/2025 16:05:55,250,2200,plate1,A1,ICP1,C1
28,05/07/2025 16:08:49,250,2200,plate1,B1,ICP1,C2
29,05/07/2025 16:11:39,250,2200,plate1,A1,ICP1,C3
30,05/07/2025 16:14:31,250,2200,plate1,B1,ICP1,C4
31,05/07/2025 16:17:22,250,2200,plate1,A1,ICP1,C5
32,05/07/2025 16:20:14,250,2200,plate1,B1,ICP1,C6
33,05/07/2025 16:23:04,250,2200,plate1,A1,ICP1,C7
34,05/07/2025 16:25:57,250,2200,plate1,B1,ICP1,C8
35,05/07/2025 16:28:51,250,2200,plate1,A1,ICP1,C9
36,05/07/2025 16:31:44,250,2200,plate1,B1,ICP1,C10
37,05/07/2025 16:34:36,250,2200,plate1,A1,ICP1,C11
38,05/07/2025 16:37:29,250,2200,plate1,B1,ICP1,C12
39,05/07/2025 16:40:21,250,2200,plate1,A1,ICP1,C13
40,05/07/2025 16:43:13,250,2200,plate1,B1,ICP1,C14
41,05/07/2025 16:46:06,250,2200,plate1,A1,ICP1,C15
42,05/07/2025 16:48:58,250,2200,plate1,B1,ICP1,D1
43,05/07/2025 16:51:50,250,2200,plate1,A1,ICP1,D2
44,05/07/2025 16:54:42,250,2200,plate1,B1,ICP1,D3
45,05/07/2025 16:57:34,250,2200,plate1,A1,ICP1,D4
46,05/07/2025 17:00:26,250,2200,plate1,B1,ICP1,D5
47,05/07/2025 17:03:18,250,2200,plate1,A1,ICP1,D6
48,05/07/2025 17:06:10,250,2200,plate1,B1,ICP1,D7
49,05/07/2025 17:09:08,250,2200,plate1,A1,ICP1,D8
50,05/07/2025 17:12:01,250,2200,plate1,B1,ICP1,D9
51,05/07/2025 17:14:58,250,2200,plate1,A1,ICP1,D10
52,05/07/2025 17:17:50,250,2200,plate1,B1,ICP1,D11
53,05/07/2025 17:20:45,250,2200,plate1,A1,ICP1,D12
54,05/07/2025 17:23:38,250,2200,plate1,B1,ICP1,D13
55,05/07/2025 17:26:30,250,2200,plate1,A1,ICP1,D14
56,05/07/2025 17:29:24,250,2200,plate1,B1,ICP1,D15
57,05/07/2025 17:32:17,250,2200,plate1,A1,ICP1,E1
58,05/07/2025 17:35:11,250,2200,plate1,B1,ICP1,E2
59,05/07/2025 17:38:05,250,2200,plate1,A1,ICP1,E3
60,05/07/2025 17:40:59,250,2200,plate1,B1,ICP1,E4
61,05/07/2025 17:43:52,250,2200,plate1,A1,ICP1,E5
62,05/07/2025 17:46:46,250,2200,plate1,B1,ICP1,E6
63,05/07/2025 17:49:39,250,2200,plate1,A1,ICP1,E7
64,05/07/2025 17:52:32,250,2200,plate1,B1,ICP1,E8
65,05/07/2025 17:55:26,250,2200,plate1,A1,ICP1,E9
66,05/07/2025 17:58:17,250,2200,plate1,B1,ICP1,E10
67,05/07/2025 18:01:10,250,2200,plate1,A1,ICP1,E11
68,05/07/2025 18:04:02,250,2200,plate1,B1,ICP1,E12
69,05/07/2025 18:06:55,250,2200,plate1,A1,ICP1,E13
70,05/07/2025 18:09:49,250,2200,plate1,B1,ICP1,E14
71,05/07/2025 18:12:46,250,2200,plate1,A1,ICP1,E15
72,05/07/2025 18:15:41,250,2200,plate1,B1,ICP1,F1
73,05/07/2025 18:18:37,250,2200,plate1,A1,ICP1,F2
74,05/07/2025 18:21:33,250,2200,plate1,B1,ICP1,F3
75,05/07/2025 18:24:29,250,2200,plate1,A1,ICP1,F4
76,05/07/2025 18:27:24,250,2200,plate1,B1,ICP1,F5
77,05/07/2025 18:30:19,250,2200,plate1,A1,ICP1,F6
78,05/07/2025 18:33:14,250,2200,plate1,B1,ICP1,F7
79,05/07/2025 18:36:10,250,2200,plate1,A1,ICP1,F8
80,05/07/2025 18:39:04,250,2200,plate1,B1,ICP1,F9
81,05/07/2025 18:41:58,250,2200,plate1,A1,ICP1,F10
82,05/07/2025 18:44:54,250,2200,plate1,B1,ICP1,F11
83,05/07/2025 18:47:50,250,2200,plate1,A1,ICP1,F12
84,05/07/2025 18:50:46,250,2200,plate1,B1,ICP1,F13
85,05/07/2025 18:53:37,250,2200,plate1,A1,ICP1,F14
86,05/07/2025 18:57:46,250,2200,plate1,B1,ICP1,F15
