index,plate from,well from,native_from,plate to,well to,native to,volume,chaser,map,solvent (from),standard (from),volume (from),solvent (to),standard (to),volume (to),"Y, ppm"
1,plate1,A1,A1,ICP1,A13,F13,250,2250,17,0.0024999999999999467,0.9975,100000.0,0.9,0.1,2500.0,1.0
2,plate1,B1,B1,ICP1,A14,F14,250,2250,20,0.0024999999999999467,0.9975,100000.0,0.9,0.1,2500.0,1.0
3,plate1,C1,C1,ICP1,A15,F15,250,2250,23,0.0024999999999999467,0.9975,100000.0,0.9,0.1,2500.0,1.0
4,plate1,A2,A2,ICP1,B1,E1,250,2250,26,0.0024999999999999467,0.9975,100000.0,0.9,0.1,2500.0,1.0
5,plate1,B2,B2,ICP1,B2,E2,250,2250,29,0.0024999999999999467,0.9975,100000.0,0.9,0.1,2500.0,1.0
6,plate1,C2,C2,ICP1,B3,E3,250,2250,32,0.0024999999999999467,0.9975,100000.0,0.9,0.1,2500.0,1.0
7,plate1,A1,A1,ICP1,B4,E4,250,2250,35,0.004993749999999894,0.9950062500000001,100000.0,0.90025,0.09975,2500.0,0.9975000000000002
8,plate1,B1,B1,ICP1,B5,E5,250,2250,38,0.004993749999999894,0.9950062500000001,100000.0,0.90025,0.09975,2500.0,0.9975000000000002
9,plate1,C1,C1,ICP1,B6,E6,250,2250,41,0.004993749999999894,0.9950062500000001,100000.0,0.90025,0.09975,2500.0,0.9975000000000002
10,plate1,A2,A2,ICP1,B7,E7,250,2250,44,0.004993749999999894,0.9950062500000001,100000.0,0.90025,0.09975,2500.0,0.9975000000000002
11,plate1,B2,B2,ICP1,B8,E8,250,2250,47,0.004993749999999894,0.9950062500000001,100000.0,0.90025,0.09975,2500.0,0.9975000000000002
12,plate1,C2,C2,ICP1,B9,E9,250,2250,50,0.004993749999999894,0.9950062500000001,100000.0,0.90025,0.09975,2500.0,0.9975000000000002
13,plate1,A1,A1,ICP1,B10,E10,250,2250,53,0.007481265624999842,0.9925187343750002,100000.0,0.900499375,0.09950062500000001,2500.0,0.9950062500000002
14,plate1,B1,B1,ICP1,B11,E11,250,2250,56,0.007481265624999842,0.9925187343750002,100000.0,0.900499375,0.09950062500000001,2500.0,0.9950062500000002
15,plate1,C1,C1,ICP1,B12,E12,250,2250,59,0.007481265624999842,0.9925187343750002,100000.0,0.900499375,0.09950062500000001,2500.0,0.9950062500000002
16,plate1,A2,A2,ICP1,B13,E13,250,2250,62,0.007481265624999842,0.9925187343750002,100000.0,0.900499375,0.09950062500000001,2500.0,0.9950062500000002
17,plate1,B2,B2,ICP1,B14,E14,250,2250,65,0.007481265624999842,0.9925187343750002,100000.0,0.900499375,0.09950062500000001,2500.0,0.9950062500000002
18,plate1,C2,C2,ICP1,B15,E15,250,2250,68,0.007481265624999842,0.9925187343750002,100000.0,0.900499375,0.09950062500000001,2500.0,0.9950062500000002
19,plate1,A1,A1,ICP1,C1,D1,250,2250,71,0.00996256246093729,0.9900374375390627,100000.0,0.9007481265625,0.09925187343750003,2500.0,0.9925187343750003
20,plate1,B1,B1,ICP1,C2,D2,250,2250,74,0.00996256246093729,0.9900374375390627,100000.0,0.9007481265625,0.09925187343750003,2500.0,0.9925187343750003
21,plate1,C1,C1,ICP1,C3,D3,250,2250,77,0.00996256246093729,0.9900374375390627,100000.0,0.9007481265625,0.09925187343750003,2500.0,0.9925187343750003
22,plate1,A2,A2,ICP1,C4,D4,250,2250,80,0.00996256246093729,0.9900374375390627,100000.0,0.9007481265625,0.09925187343750003,2500.0,0.9925187343750003
23,plate1,B2,B2,ICP1,C5,D5,250,2250,83,0.00996256246093729,0.9900374375390627,100000.0,0.9007481265625,0.09925187343750003,2500.0,0.9925187343750003
24,plate1,C2,C2,ICP1,C6,D6,250,2250,86,0.00996256246093729,0.9900374375390627,100000.0,0.9007481265625,0.09925187343750003,2500.0,0.9925187343750003
25,plate1,A1,A1,ICP1,C7,D7,250,2250,89,0.012437656054784894,0.9875623439452151,100000.0,0.9009962562460937,0.09900374375390628,2500.0,0.9900374375390628
26,plate1,B1,B1,ICP1,C8,D8,250,2250,92,0.012437656054784894,0.9875623439452151,100000.0,0.9009962562460937,0.09900374375390628,2500.0,0.9900374375390628
27,plate1,C1,C1,ICP1,C9,D9,250,2250,95,0.012437656054784894,0.9875623439452151,100000.0,0.9009962562460937,0.09900374375390628,2500.0,0.9900374375390628
28,plate1,A2,A2,ICP1,C10,D10,250,2250,98,0.012437656054784894,0.9875623439452151,100000.0,0.9009962562460937,0.09900374375390628,2500.0,0.9900374375390628
29,plate1,B2,B2,ICP1,C11,D11,250,2250,101,0.012437656054784894,0.9875623439452151,100000.0,0.9009962562460937,0.09900374375390628,2500.0,0.9900374375390628
30,plate1,C2,C2,ICP1,C12,D12,250,2250,104,0.012437656054784894,0.9875623439452151,100000.0,0.9009962562460937,0.09900374375390628,2500.0,0.9900374375390628
31,plate1,A1,A1,ICP1,C13,D13,250,2250,107,0.014906561914647879,0.9850934380853521,100000.0,0.9012437656054785,0.09875623439452152,2500.0,0.9875623439452152
32,plate1,B1,B1,ICP1,C14,D14,250,2250,110,0.014906561914647879,0.9850934380853521,100000.0,0.9012437656054785,0.09875623439452152,2500.0,0.9875623439452152
33,plate1,C1,C1,ICP1,C15,D15,250,2250,113,0.014906561914647879,0.9850934380853521,100000.0,0.9012437656054785,0.09875623439452152,2500.0,0.9875623439452152
34,plate1,A2,A2,ICP1,D1,C1,250,2250,116,0.014906561914647879,0.9850934380853521,100000.0,0.9012437656054785,0.09875623439452152,2500.0,0.9875623439452152
35,plate1,B2,B2,ICP1,D2,C2,250,2250,119,0.014906561914647879,0.9850934380853521,100000.0,0.9012437656054785,0.09875623439452152,2500.0,0.9875623439452152
36,plate1,C2,C2,ICP1,D3,C3,250,2250,122,0.014906561914647879,0.9850934380853521,100000.0,0.9012437656054785,0.09875623439452152,2500.0,0.9875623439452152
37,plate1,A1,A1,ICP1,D4,C4,250,2250,125,0.01736929550986121,0.9826307044901388,100000.0,0.9014906561914648,0.09850934380853521,2500.0,0.9850934380853522
38,plate1,B1,B1,ICP1,D5,C5,250,2250,128,0.01736929550986121,0.9826307044901388,100000.0,0.9014906561914648,0.09850934380853521,2500.0,0.9850934380853522
39,plate1,C1,C1,ICP1,D6,C6,250,2250,131,0.01736929550986121,0.9826307044901388,100000.0,0.9014906561914648,0.09850934380853521,2500.0,0.9850934380853522
40,plate1,A2,A2,ICP1,D7,C7,250,2250,134,0.01736929550986121,0.9826307044901388,100000.0,0.9014906561914648,0.09850934380853521,2500.0,0.9850934380853522
41,plate1,B2,B2,ICP1,D8,C8,250,2250,137,0.01736929550986121,0.9826307044901388,100000.0,0.9014906561914648,0.09850934380853521,2500.0,0.9850934380853522
42,plate1,C2,C2,ICP1,D9,C9,250,2250,140,0.01736929550986121,0.9826307044901388,100000.0,0.9014906561914648,0.09850934380853521,2500.0,0.9850934380853522
43,plate1,A1,A1,ICP1,D10,C10,250,2250,143,0.019825872271086502,0.9801741277289134,100000.0,0.9017369295509862,0.09826307044901389,2500.0,0.982630704490139
44,plate1,B1,B1,ICP1,D11,C11,250,2250,146,0.019825872271086502,0.9801741277289134,100000.0,0.9017369295509862,0.09826307044901389,2500.0,0.982630704490139
45,plate1,C1,C1,ICP1,D12,C12,250,2250,149,0.019825872271086502,0.9801741277289134,100000.0,0.9017369295509862,0.09826307044901389,2500.0,0.982630704490139
46,plate1,A2,A2,ICP1,D13,C13,250,2250,152,0.019825872271086502,0.9801741277289134,100000.0,0.9017369295509862,0.09826307044901389,2500.0,0.982630704490139
47,plate1,B2,B2,ICP1,D14,C14,250,2250,155,0.019825872271086502,0.9801741277289134,100000.0,0.9017369295509862,0.09826307044901389,2500.0,0.982630704490139
48,plate1,C2,C2,ICP1,D15,C15,250,2250,158,0.019825872271086502,0.9801741277289134,100000.0,0.9017369295509862,0.09826307044901389,2500.0,0.982630704490139
49,plate1,A1,A1,ICP1,E1,B1,250,2250,161,0.022276307590408734,0.9777236924095912,100000.0,0.9019825872271087,0.09801741277289135,2500.0,0.9801741277289135
50,plate1,B1,B1,ICP1,E2,B2,250,2250,164,0.022276307590408734,0.9777236924095912,100000.0,0.9019825872271087,0.09801741277289135,2500.0,0.9801741277289135
51,plate1,C1,C1,ICP1,E3,B3,250,2250,167,0.022276307590408734,0.9777236924095912,100000.0,0.9019825872271087,0.09801741277289135,2500.0,0.9801741277289135
52,plate1,A2,A2,ICP1,E4,B4,250,2250,170,0.022276307590408734,0.9777236924095912,100000.0,0.9019825872271087,0.09801741277289135,2500.0,0.9801741277289135
53,plate1,B2,B2,ICP1,E5,B5,250,2250,173,0.022276307590408734,0.9777236924095912,100000.0,0.9019825872271087,0.09801741277289135,2500.0,0.9801741277289135
54,plate1,C2,C2,ICP1,E6,B6,250,2250,176,0.022276307590408734,0.9777236924095912,100000.0,0.9019825872271087,0.09801741277289135,2500.0,0.9801741277289135
55,plate1,A1,A1,ICP1,E7,B7,250,2250,179,0.02472061682143266,0.9752793831785673,100000.0,0.9022276307590409,0.09777236924095913,2500.0,0.9777236924095913
56,plate1,B1,B1,ICP1,E8,B8,250,2250,182,0.02472061682143266,0.9752793831785673,100000.0,0.9022276307590409,0.09777236924095913,2500.0,0.9777236924095913
57,plate1,C1,C1,ICP1,E9,B9,250,2250,185,0.02472061682143266,0.9752793831785673,100000.0,0.9022276307590409,0.09777236924095913,2500.0,0.9777236924095913
58,plate1,A2,A2,ICP1,E10,B10,250,2250,188,0.02472061682143266,0.9752793831785673,100000.0,0.9022276307590409,0.09777236924095913,2500.0,0.9777236924095913
59,plate1,B2,B2,ICP1,E11,B11,250,2250,191,0.02472061682143266,0.9752793831785673,100000.0,0.9022276307590409,0.09777236924095913,2500.0,0.9777236924095913
60,plate1,C2,C2,ICP1,E12,B12,250,2250,194,0.02472061682143266,0.9752793831785673,100000.0,0.9022276307590409,0.09777236924095913,2500.0,0.9777236924095913
61,plate1,A1,A1,ICP1,E13,B13,250,2250,197,0.027158815279379026,0.972841184720621,100000.0,0.9024720616821433,0.09752793831785674,2500.0,0.9752793831785674
