Index	Action Index	Error	Time	Library ID	Well Position	Script Class	Script Function	Active Script	Action	Comment	Parameter Name	Parameter Value	Message	
1	1	False	05/13/2025 11:54:11.594			AS Client	AS Client	ASMain	Comment	AS Client Version: 10.0.3				
2	1	False	05/13/2025 11:54:11.594			AS Client	AS Client	ASMain	Comment	AS Client Version: 10.0.3	Input : Comment	AS Client Version: 10.0.3		
3	1	False	05/13/2025 11:54:11.603			AS Client	AS Client	ASMain	Comment	AS Client Version: 10.0.3				
4	2	False	05/13/2025 11:54:11.603			AS Client	AS Client	ASMain	Comment	Not running UL default script				
5	2	False	05/13/2025 11:54:11.603			AS Client	AS Client	ASMain	Comment	Not running UL default script	Input : Comment	Not running UL default script		
6	2	False	05/13/2025 11:54:11.603			AS Client	AS Client	ASMain	Comment	Not running UL default script				
7	1	False	05/13/2025 11:54:11.746				__init__	ASMain	GetDataResourcesList					
8	1	False	05/13/2025 11:54:11.765				__init__	ASMain	GetDataResourcesList					
9	2	False	05/13/2025 11:54:11.781			ASMain	__init__	ASMain	Comment	Data Resource Names: ['Can Device Map', 'Reactor Monitor', 'PDT Rack Manager', 'Waste Bin', 'Heated Filter Plate 1', 'Fixed Tip Manager', 'Balance Camera', '7mm Seals']				
10	2	False	05/13/2025 11:54:11.781			ASMain	__init__	ASMain	Comment	Data Resource Names: ['Can Device Map', 'Reactor Monitor', 'PDT Rack Manager', 'Waste Bin', 'Heated Filter Plate 1', 'Fixed Tip Manager', 'Balance Camera', '7mm Seals']	Input : Comment	Data Resource Names: ['Can Device Map', 'Reactor Monitor', 'PDT Rack Manager', 'Waste Bin', 'Heated Filter Plate 1', 'Fixed Tip Manager', 'Balance Camera', '7mm Seals']		
11	2	False	05/13/2025 11:54:11.781			ASMain	__init__	ASMain	Comment	Data Resource Names: ['Can Device Map', 'Reactor Monitor', 'PDT Rack Manager', 'Waste Bin', 'Heated Filter Plate 1', 'Fixed Tip Manager', 'Balance Camera', '7mm Seals']				
12	3	False	05/13/2025 11:54:11.790			ASMain	__init__	ASMain	Comment	Data Resource Class Names: ['EpochInstrumentation.InstrumentationResource', 'EpochReactorMonitorServer.ReactorMonitorSystemResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'EpochTipRackServer.EpochTipRackResource', 'EpochTipRackServer.EpochTipRackResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'Symyx.AutomationStudio.Resources.GeviCam.GeviCamResource', 'EpochTipRackServer.EpochTipRackResource']				
13	3	False	05/13/2025 11:54:11.790			ASMain	__init__	ASMain	Comment	Data Resource Class Names: ['EpochInstrumentation.InstrumentationResource', 'EpochReactorMonitorServer.ReactorMonitorSystemResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'EpochTipRackServer.EpochTipRackResource', 'EpochTipRackServer.EpochTipRackResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'Symyx.AutomationStudio.Resources.GeviCam.GeviCamResource', 'EpochTipRackServer.EpochTipRackResource']	Input : Comment	Data Resource Class Names: ['EpochInstrumentation.InstrumentationResource', 'EpochReactorMonitorServer.ReactorMonitorSystemResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'EpochTipRackServer.EpochTipRackResource', 'EpochTipRackServer.EpochTipRackResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'Symyx.AutomationStudio.Resources.GeviCam.GeviCamResource', 'EpochTipRackServer.EpochTipRackResource']		
14	3	False	05/13/2025 11:54:11.790			ASMain	__init__	ASMain	Comment	Data Resource Class Names: ['EpochInstrumentation.InstrumentationResource', 'EpochReactorMonitorServer.ReactorMonitorSystemResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'EpochTipRackServer.EpochTipRackResource', 'EpochTipRackServer.EpochTipRackResource', 'Symyx.AutomationStudio.DataResources.TipRackManager', 'Symyx.AutomationStudio.Resources.GeviCam.GeviCamResource', 'EpochTipRackServer.EpochTipRackResource']				
15	4	False	05/13/2025 11:54:11.815			ASMain	__init__	ASMain	Set Value					
16	4	False	05/13/2025 11:54:11.815			ASMain	__init__	ASMain	Set Value		Input : Available Resources			
17	4	False	05/13/2025 11:54:11.815			ASMain	__init__	ASMain	Set Value		Input : Index	1		
18	4	False	05/13/2025 11:54:11.815			ASMain	__init__	ASMain	Set Value		Input : Item	local\User Items\ASMain Instances		
19	4	False	05/13/2025 11:54:11.815			ASMain	__init__	ASMain	Set Value		Input : Channel	1		
20	4	False	05/13/2025 11:54:11.815			ASMain	__init__	ASMain	Set Value		Input : Units	undefined		
21	4	False	05/13/2025 11:54:11.815			ASMain	__init__	ASMain	Set Value		Input : Value	1		
22	4	False	05/13/2025 11:54:11.843			ASMain	__init__	ASMain	Set Value					
23	5	False	05/13/2025 11:54:12.073			ASMain	__init__	ASMain	Comment	System Options List: ['CoreModule', 'VialPlateGripper', 'HeatCoolStirStation', 'HeatedFilterBlock', 'HeatStirStation', 'CappingStation', 'Balance', 'ViscousLiquidDispenser', 'SolidDispenser', 'FourTipLiquidDispenser', 'SingleTipLiquidDispenser']				
24	5	False	05/13/2025 11:54:12.073			ASMain	__init__	ASMain	Comment	System Options List: ['CoreModule', 'VialPlateGripper', 'HeatCoolStirStation', 'HeatedFilterBlock', 'HeatStirStation', 'CappingStation', 'Balance', 'ViscousLiquidDispenser', 'SolidDispenser', 'FourTipLiquidDispenser', 'SingleTipLiquidDispenser']	Input : Comment	System Options List: ['CoreModule', 'VialPlateGripper', 'HeatCoolStirStation', 'HeatedFilterBlock', 'HeatStirStation', 'CappingStation', 'Balance', 'ViscousLiquidDispenser', 'SolidDispenser', 'FourTipLiquidDispenser', 'SingleTipLiquidDispenser']		
25	5	False	05/13/2025 11:54:12.074			ASMain	__init__	ASMain	Comment	System Options List: ['CoreModule', 'VialPlateGripper', 'HeatCoolStirStation', 'HeatedFilterBlock', 'HeatStirStation', 'CappingStation', 'Balance', 'ViscousLiquidDispenser', 'SolidDispenser', 'FourTipLiquidDispenser', 'SingleTipLiquidDispenser']				
26	6	False	05/13/2025 11:54:12.078			ASMain	__init__	ASMain	GetAllArmsList					
27	6	False	05/13/2025 11:54:12.090			ASMain	__init__	ASMain	GetAllArmsList					
28	7	False	05/13/2025 11:54:12.092			ASMain	__init__	ASMain	Comment	Arm List: ['Arm - 1000uL PDT', 'Arm - 4-Tip', 'Arm - Dispense Head', 'Arm - Extendable Single Tip', 'Arm - Single Tip', 'Arm - SV Hopper', 'Arm - Vial Plate Gripper']				
29	7	False	05/13/2025 11:54:12.092			ASMain	__init__	ASMain	Comment	Arm List: ['Arm - 1000uL PDT', 'Arm - 4-Tip', 'Arm - Dispense Head', 'Arm - Extendable Single Tip', 'Arm - Single Tip', 'Arm - SV Hopper', 'Arm - Vial Plate Gripper']	Input : Comment	Arm List: ['Arm - 1000uL PDT', 'Arm - 4-Tip', 'Arm - Dispense Head', 'Arm - Extendable Single Tip', 'Arm - Single Tip', 'Arm - SV Hopper', 'Arm - Vial Plate Gripper']		
30	7	False	05/13/2025 11:54:12.092			ASMain	__init__	ASMain	Comment	Arm List: ['Arm - 1000uL PDT', 'Arm - 4-Tip', 'Arm - Dispense Head', 'Arm - Extendable Single Tip', 'Arm - Single Tip', 'Arm - SV Hopper', 'Arm - Vial Plate Gripper']				
31	8	False	05/13/2025 11:54:12.102			GetDesignAssemblePrompts	Execute	ASMain	Comment	Execution Options {'Filter Maps': 'No filtering', 'Reset Chem Mgr': 'No', 'Load Type': 'Load Selected Elements', 'Design ID': 1572, 'Force Initialize': 'No'}				
32	8	False	05/13/2025 11:54:12.102			GetDesignAssemblePrompts	Execute	ASMain	Comment	Execution Options {'Filter Maps': 'No filtering', 'Reset Chem Mgr': 'No', 'Load Type': 'Load Selected Elements', 'Design ID': 1572, 'Force Initialize': 'No'}	Input : Comment	Execution Options {'Filter Maps': 'No filtering', 'Reset Chem Mgr': 'No', 'Load Type': 'Load Selected Elements', 'Design ID': 1572, 'Force Initialize': 'No'}		
33	8	False	05/13/2025 11:54:12.102			GetDesignAssemblePrompts	Execute	ASMain	Comment	Execution Options {'Filter Maps': 'No filtering', 'Reset Chem Mgr': 'No', 'Load Type': 'Load Selected Elements', 'Design ID': 1572, 'Force Initialize': 'No'}				
34	9	False	05/13/2025 11:54:12.109			GetDesignAssemblePrompts	Execute	ASMain	Check If Run Configuration Exists					
35	9	False	05/13/2025 11:54:12.109			GetDesignAssemblePrompts	Execute	ASMain	Check If Run Configuration Exists		Input : DesignID	1572		
36	9	False	05/13/2025 11:54:12.109			GetDesignAssemblePrompts	Execute	ASMain	Check If Run Configuration Exists					
37	9	False	05/13/2025 11:54:12.109			GetDesignAssemblePrompts	Execute	ASMain	Check If Run Configuration Exists		Output : RunConfigExists	0		
38	10	False	05/13/2025 11:54:12.117			GetDesignAssemblePrompts	Execute	ASMain	Get Library From Library Collection					
39	10	False	05/13/2025 11:54:12.117			GetDesignAssemblePrompts	Execute	ASMain	Get Library From Library Collection		Input : Libraries Collection	(VT_UNKNOWN)		
