index,plate from,well from,native_from,plate to,well to,native to,volume,chaser,map,solvent (from),standard (from),volume (from),solvent (to),standard (to),volume (to),"Y, ppm"
1,plate1,B1,B1,ICP1,A1,F1,100,2300,17,0.005347593582887722,0.9946524064171123,18700.0,0.9583333333333334,0.041666666666666664,2400.0,0.8333333333333333
2,plate1,B2,B2,ICP1,A2,F2,100,2300,21,0.005347593582887722,0.9946524064171123,18700.0,0.9583333333333334,0.041666666666666664,2400.0,0.8333333333333333
3,plate1,A1,A1,ICP1,A3,F3,100,2300,25,0.005347593582887722,0.9946524064171123,18700.0,0.9583333333333334,0.041666666666666664,2400.0,0.8333333333333333
4,plate1,A2,A2,ICP1,A4,F4,100,2300,29,0.005347593582887722,0.9946524064171123,18700.0,0.9583333333333334,0.041666666666666664,2400.0,0.8333333333333333
5,plate1,B1,B1,ICP1,A5,F5,100,2300,33,0.010666590408647703,0.9893334095913523,18700.0,0.9585561497326204,0.04144385026737968,2400.0,0.8288770053475935
6,plate1,B2,B2,ICP1,A6,F6,100,2300,37,0.010666590408647703,0.9893334095913523,18700.0,0.9585561497326204,0.04144385026737968,2400.0,0.8288770053475935
7,plate1,A1,A1,ICP1,A7,F7,100,2300,41,0.010666590408647703,0.9893334095913523,18700.0,0.9585561497326204,0.04144385026737968,2400.0,0.8288770053475935
8,plate1,A2,A2,ICP1,A8,F8,100,2300,45,0.010666590408647703,0.9893334095913523,18700.0,0.9585561497326204,0.04144385026737968,2400.0,0.8288770053475935
9,plate1,B1,B1,ICP1,A9,F9,100,2300,49,0.01595714340111485,0.9840428565988851,18700.0,0.9587777746003604,0.04122222539963968,2400.0,0.8244445079927935
10,plate1,B2,B2,ICP1,A10,F10,100,2300,53,0.01595714340111485,0.9840428565988851,18700.0,0.9587777746003604,0.04122222539963968,2400.0,0.8244445079927935
11,plate1,A1,A1,ICP1,A11,F11,100,2300,57,0.01595714340111485,0.9840428565988851,18700.0,0.9587777746003604,0.04122222539963968,2400.0,0.8244445079927935
12,plate1,A2,A2,ICP1,A12,F12,100,2300,61,0.01595714340111485,0.9840428565988851,18700.0,0.9587777746003604,0.04122222539963968,2400.0,0.8244445079927935
13,plate1,B1,B1,ICP1,A13,F13,100,2300,65,0.02121940466634955,0.9787805953336505,18700.0,0.9589982143083798,0.04100178569162021,2400.0,0.8200357138324041
14,plate1,B2,B2,ICP1,A14,F14,100,2300,69,0.02121940466634955,0.9787805953336505,18700.0,0.9589982143083798,0.04100178569162021,2400.0,0.8200357138324041
