index,datetime,volume,chaser,plate from,well from,plate to,well to
1,04/18/2025 14:22:20,250,2200,plate1,A1,ICP1,A5
2,04/18/2025 14:25:13,250,2200,plate1,B1,ICP1,A6
3,04/18/2025 14:28:07,250,2200,plate1,A1,ICP1,A7
4,04/18/2025 14:31:01,250,2200,plate1,B1,ICP1,A8
5,04/18/2025 14:33:55,250,2200,plate1,A1,ICP1,A9
6,04/18/2025 14:36:49,250,2200,plate1,B1,ICP1,A10
7,04/18/2025 14:39:41,250,2200,plate1,A1,ICP1,A11
8,04/18/2025 14:42:35,250,2200,plate1,B1,ICP1,A12
9,04/18/2025 14:45:28,250,2200,plate1,A1,ICP1,A13
10,04/18/2025 14:48:20,250,2200,plate1,B1,ICP1,A14
11,04/18/2025 14:51:14,250,2200,plate1,A1,ICP1,A15
12,04/18/2025 14:54:07,250,2200,plate1,B1,ICP1,B1
13,04/18/2025 14:56:59,250,2200,plate1,A1,ICP1,B2
14,04/18/2025 14:59:51,250,2200,plate1,B1,ICP1,B3
15,04/18/2025 15:02:43,250,2200,plate1,A1,ICP1,B4
16,04/18/2025 15:05:36,250,2200,plate1,B1,ICP1,B5
17,04/18/2025 15:08:27,250,2200,plate1,A1,ICP1,B6
18,04/18/2025 15:11:21,250,2200,plate1,B1,ICP1,B7
19,04/18/2025 15:14:10,250,2200,plate1,A1,ICP1,B8
20,04/18/2025 15:17:01,250,2200,plate1,B1,ICP1,B9
21,04/18/2025 15:19:53,250,2200,plate1,A1,ICP1,B10
22,04/18/2025 15:22:46,250,2200,plate1,B1,ICP1,B11
23,04/18/2025 15:25:41,250,2200,plate1,A1,ICP1,B12
24,04/18/2025 15:28:35,250,2200,plate1,B1,ICP1,B13
25,04/18/2025 15:31:25,250,2200,plate1,A1,ICP1,B14
26,04/18/2025 15:34:19,250,2200,plate1,B1,ICP1,B15
27,04/18/2025 15:37:13,250,2200,plate1,A1,ICP1,C1
28,04/18/2025 15:40:06,250,2200,plate1,B1,ICP1,C2
29,04/18/2025 15:43:01,250,2200,plate1,A1,ICP1,C3
30,04/18/2025 15:45:55,250,2200,plate1,B1,ICP1,C4
31,04/18/2025 15:48:47,250,2200,plate1,A1,ICP1,C5
32,04/18/2025 15:51:41,250,2200,plate1,B1,ICP1,C6
33,04/18/2025 15:54:35,250,2200,plate1,A1,ICP1,C7
34,04/18/2025 15:57:28,250,2200,plate1,B1,ICP1,C8
35,04/18/2025 16:00:19,250,2200,plate1,A1,ICP1,C9
36,04/18/2025 16:03:13,250,2200,plate1,B1,ICP1,C10
37,04/18/2025 16:06:05,250,2200,plate1,A1,ICP1,C11
38,04/18/2025 16:08:59,250,2200,plate1,B1,ICP1,C12
39,04/18/2025 16:11:53,250,2200,plate1,A1,ICP1,C13
40,04/18/2025 16:14:47,250,2200,plate1,B1,ICP1,C14
41,04/18/2025 16:17:41,250,2200,plate1,A1,ICP1,C15
42,04/18/2025 16:20:35,250,2200,plate1,B1,ICP1,D1
43,04/18/2025 16:23:26,250,2200,plate1,A1,ICP1,D2
44,04/18/2025 16:26:19,250,2200,plate1,B1,ICP1,D3
45,04/18/2025 16:29:12,250,2200,plate1,A1,ICP1,D4
46,04/18/2025 16:32:06,250,2200,plate1,B1,ICP1,D5
47,04/18/2025 16:34:58,250,2200,plate1,A1,ICP1,D6
48,04/18/2025 16:37:52,250,2200,plate1,B1,ICP1,D7
49,04/18/2025 16:40:44,250,2200,plate1,A1,ICP1,D8
50,04/18/2025 16:43:37,250,2200,plate1,B1,ICP1,D9
51,04/18/2025 16:46:31,250,2200,plate1,A1,ICP1,D10
52,04/18/2025 16:49:24,250,2200,plate1,B1,ICP1,D11
53,04/18/2025 16:52:17,250,2200,plate1,A1,ICP1,D12
54,04/18/2025 16:55:11,250,2200,plate1,B1,ICP1,D13
55,04/18/2025 16:58:05,250,2200,plate1,A1,ICP1,D14
56,04/18/2025 17:00:58,250,2200,plate1,B1,ICP1,D15
57,04/18/2025 17:03:54,250,2200,plate1,A1,ICP1,E1
58,04/18/2025 17:06:49,250,2200,plate1,B1,ICP1,E2
59,04/18/2025 17:09:43,250,2200,plate1,A1,ICP1,E3
60,04/18/2025 17:12:35,250,2200,plate1,B1,ICP1,E4
61,04/18/2025 17:15:30,250,2200,plate1,A1,ICP1,E5
62,04/18/2025 17:18:22,250,2200,plate1,B1,ICP1,E6
63,04/18/2025 17:21:15,250,2200,plate1,A1,ICP1,E7
64,04/18/2025 17:24:06,250,2200,plate1,B1,ICP1,E8
65,04/18/2025 17:27:00,250,2200,plate1,A1,ICP1,E9
66,04/18/2025 17:29:54,250,2200,plate1,B1,ICP1,E10
67,04/18/2025 17:32:48,250,2200,plate1,A1,ICP1,E11
68,04/18/2025 17:35:42,250,2200,plate1,B1,ICP1,E12
69,04/18/2025 17:38:36,250,2200,plate1,A1,ICP1,E13
70,04/18/2025 17:41:30,250,2200,plate1,B1,ICP1,E14
71,04/18/2025 17:44:24,250,2200,plate1,A1,ICP1,E15
72,04/18/2025 17:47:18,250,2200,plate1,B1,ICP1,F1
73,04/18/2025 17:50:12,250,2200,plate1,A1,ICP1,F2
74,04/18/2025 17:54:00,250,2200,plate1,B1,ICP1,F3
75,04/18/2025 17:57:21,250,2200,plate1,A1,ICP1,F4
76,04/18/2025 18:00:13,250,2200,plate1,B1,ICP1,F5
77,04/18/2025 18:03:07,250,2200,plate1,A1,ICP1,F6
78,04/18/2025 18:06:01,250,2200,plate1,B1,ICP1,F7
79,04/18/2025 18:08:55,250,2200,plate1,A1,ICP1,F8
80,04/18/2025 18:11:48,250,2200,plate1,B1,ICP1,F9
81,04/18/2025 18:14:42,250,2200,plate1,A1,ICP1,F10
82,04/18/2025 18:17:35,250,2200,plate1,B1,ICP1,F11
83,04/18/2025 18:20:28,250,2200,plate1,A1,ICP1,F12
84,04/18/2025 18:23:23,250,2200,plate1,B1,ICP1,F13
85,04/18/2025 18:26:17,250,2200,plate1,A1,ICP1,F14
86,04/18/2025 18:29:10,250,2200,plate1,B1,ICP1,F15
